id,model,maxae,horizon,context,eta,dataset
2,NHITS,122.0,5,6,10,.
6,NHITS,123.78680419921876,5,6,10,.
11,NHITS,131.0,5,6,10,.
1,NHITS,128.0,5,6,10,.
5,NHITS,388.66400146484375,5,6,10,.
4,ETS,563.2665195437799,5,6,10,.
10,ETS,572.1997496996461,5,6,10,.
3,ETS,994.7915483373026,5,6,10,.
9,ETS,626.4041458915583,5,6,10,.
8,ETS,806.8078991549644,5,6,10,.
2,ETS,791.7448998962972,5,6,10,.
6,ETS,682.1177365044507,5,6,10,.
11,ETS,790.214059115934,5,6,10,.
1,ETS,337.69557889498117,5,6,10,.
5,ETS,820.2974238101417,5,6,10,.
4,HBML (c),705.0,5,6,10,.
10,HBML (c),635.2463562952967,5,6,10,.
3,HBML (c),1877.362857079678,5,6,10,.
9,HBML (c),729.0280995635447,5,6,10,.
8,HBML (c),1176.494485822817,5,6,10,.
2,HBML (c),992.6209757419606,5,6,10,.
6,HBML (c),754.2785512749444,5,6,10,.
11,HBML (c),1067.7141203642302,5,6,10,.
1,HBML (c),220.5704416452499,5,6,10,.
5,HBML (c),1684.770615499741,5,6,10,.
4,HBML (d),472.0,5,6,10,.
10,HBML (d),780.2116953038384,5,6,10,.
3,HBML (d),1013.6625737394822,5,6,10,.
9,HBML (d),626.4041458915583,5,6,10,.
8,HBML (d),1395.9553078421695,5,6,10,.
2,HBML (d),1574.9831323494757,5,6,10,.
6,HBML (d),682.1177365044507,5,6,10,.
11,HBML (d),1008.0,5,6,10,.
1,HBML (d),241.82728618451475,5,6,10,.
5,HBML (d),1020.5625094069768,5,6,10,.
4,HBML (fd),863.6045184550268,5,6,10,.
10,HBML (fd),519.0,5,6,10,.
3,HBML (fd),1055.6420432741115,5,6,10,.
9,HBML (fd),699.3583187025956,5,6,10,.
8,HBML (fd),1136.0,5,6,10,.
2,HBML (fd),855.0,5,6,10,.
6,HBML (fd),1055.0268400424857,5,6,10,.
11,HBML (fd),888.0,5,6,10,.
1,HBML (fd),241.82728618451475,5,6,10,.
5,HBML (fd),1025.3399756599076,5,6,10,.
4,HBML-SFH,264.68578259378444,5,6,10,.
10,HBML-SFH,269.02613620339855,5,6,10,.
3,HBML-SFH,342.3621189924165,5,6,10,.
9,HBML-SFH,205.18943195700777,5,6,10,.
8,HBML-SFH,524.7380163128112,5,6,10,.
2,HBML-SFH,290.4895161197064,5,6,10,.
6,HBML-SFH,143.42054797752454,5,6,10,.
11,HBML-SFH,402.3963269384189,5,6,10,.
1,HBML-SFH,285.8548296407255,5,6,10,.
5,HBML-SFH,649.4365017603477,5,6,10,.
4,HBML-SFHDF,120.0,5,6,10,.
10,HBML-SFHDF,249.7911893742896,5,6,10,.
3,HBML-SFHDF,227.7700835438217,5,6,10,.
9,HBML-SFHDF,257.8469952919697,5,6,10,.
8,HBML-SFHDF,618.0016287355594,5,6,10,.
2,HBML-SFHDF,270.9589505772447,5,6,10,.
6,HBML-SFHDF,142.99784758609596,5,6,10,.
11,HBML-SFHDF,443.3169643301371,5,6,10,.
1,HBML-SFHDF,311.6814132179768,5,6,10,.
5,HBML-SFHDF,692.3759109077723,5,6,10,.
4,NODE,0.0,2,12,10,.
10,NODE,148.0,2,12,10,.
3,NODE,108.0,2,12,10,.
9,NODE,138.0,2,12,10,.
8,NODE,116.0,2,12,10,.
2,NODE,122.0,2,12,10,.
6,NODE,0.0,2,12,10,.
11,NODE,131.0,2,12,10,.
1,NODE,121.0,2,12,10,.
5,NODE,161.0,2,12,10,.
4,ARIMA,0.0,2,12,10,.
10,ARIMA,148.0,2,12,10,.
3,ARIMA,906.3828177958528,2,12,10,.
9,ARIMA,212.0643856180397,2,12,10,.
8,ARIMA,479.3334778331142,2,12,10,.
2,ARIMA,270.1789336789464,2,12,10,.
6,ARIMA,0.0,2,12,10,.
11,ARIMA,347.2567182352682,2,12,10,.
1,ARIMA,121.0,2,12,10,.
5,ARIMA,544.1622499069726,2,12,10,.
4,XGBoost,0.0,2,12,10,.
10,XGBoost,148.0,2,12,10,.
3,XGBoost,169.43511199951172,2,12,10,.
9,XGBoost,155.75494384765625,2,12,10,.
8,XGBoost,198.0250701904297,2,12,10,.
2,XGBoost,154.77822875976562,2,12,10,.
6,XGBoost,0.0,2,12,10,.
11,XGBoost,131.0,2,12,10,.
1,XGBoost,121.0,2,12,10,.
