id,model,rmse,horizon,context,eta,dataset
8,HBML-SFHDF,23.292522117772055,5,24,10,.
2,HBML-SFHDF,22.77752530728918,5,24,10,.
6,HBML-SFHDF,19.646684400220742,5,24,10,.
11,HBML-SFHDF,21.298870181421144,5,24,10,.
1,HBML-SFHDF,17.585487558286424,5,24,10,.
5,HBML-SFHDF,41.55677140618592,5,24,10,.
4,NODE,26.117920714141004,5,6,10,.
10,NODE,27.78050591450084,5,6,10,.
3,NODE,26.28126764019948,5,6,10,.
9,NODE,28.24127031422651,5,6,10,.
8,NODE,27.144545831288845,5,6,10,.
2,NODE,27.1269772672711,5,6,10,.
6,NODE,25.342566500895096,5,6,10,.
11,NODE,27.166310126708343,5,6,10,.
1,NODE,26.635749148066196,5,6,10,.
5,NODE,29.802585174680665,5,6,10,.
4,ARIMA,67.34699585710358,5,6,10,.
10,ARIMA,72.77661541061619,5,6,10,.
3,ARIMA,186.1429788068257,5,6,10,.
9,ARIMA,101.8323886553238,5,6,10,.
8,ARIMA,104.64565474539994,5,6,10,.
2,ARIMA,103.65804860804424,5,6,10,.
6,ARIMA,71.01519400289952,5,6,10,.
11,ARIMA,93.33244541544188,5,6,10,.
1,ARIMA,21.40838389204161,5,6,10,.
5,ARIMA,156.70597936385025,5,6,10,.
4,XGBoost,22.042236060816897,5,6,10,.
10,XGBoost,25.517345401960597,5,6,10,.
3,XGBoost,26.745613755059324,5,6,10,.
9,XGBoost,26.53867108009847,5,6,10,.
8,XGBoost,25.347637287961817,5,6,10,.
2,XGBoost,26.271197472935967,5,6,10,.
6,XGBoost,18.053489586371416,5,6,10,.
11,XGBoost,24.125688787573292,5,6,10,.
1,XGBoost,19.819082895723025,5,6,10,.
5,XGBoost,31.152869670300543,5,6,10,.
4,NHITS,25.885904833870697,5,6,10,.
10,NHITS,25.534776047693324,5,6,10,.
3,NHITS,32.926703778826514,5,6,10,.
9,NHITS,37.9331803481217,5,6,10,.
8,NHITS,33.40353468123557,5,6,10,.
2,NHITS,28.287915372409955,5,6,10,.
6,NHITS,22.845730145894613,5,6,10,.
11,NHITS,24.819744818207475,5,6,10,.
1,NHITS,20.22031553000348,5,6,10,.
5,NHITS,46.12495460767136,5,6,10,.
4,ETS,50.241695992112774,5,6,10,.
10,ETS,46.30690606609624,5,6,10,.
3,ETS,99.99909193378876,5,6,10,.
9,ETS,67.07646105640072,5,6,10,.
8,ETS,77.66698940772413,5,6,10,.
2,ETS,87.40143555426567,5,6,10,.
6,ETS,52.61458654623685,5,6,10,.
11,ETS,67.3053890494546,5,6,10,.
1,ETS,21.702628900364985,5,6,10,.
5,ETS,116.5161621098963,5,6,10,.
4,HBML (c),47.11889912915487,5,6,10,.
10,HBML (c),44.94373345021265,5,6,10,.
3,HBML (c),91.9128396513198,5,6,10,.
9,HBML (c),54.02770751792432,5,6,10,.
8,HBML (c),61.68775595233435,5,6,10,.
2,HBML (c),56.077979057498,5,6,10,.
6,HBML (c),42.05622131657308,5,6,10,.
11,HBML (c),53.91426047122476,5,6,10,.
1,HBML (c),21.354304999764867,5,6,10,.
5,HBML (c),92.74142565607258,5,6,10,.
4,HBML (d),35.565762839230885,5,6,10,.
10,HBML (d),42.284074146318034,5,6,10,.
3,HBML (d),65.11289523422528,5,6,10,.
9,HBML (d),44.70074984045869,5,6,10,.
8,HBML (d),68.44966449466678,5,6,10,.
2,HBML (d),63.85152621254613,5,6,10,.
6,HBML (d),39.699119811115054,5,6,10,.
11,HBML (d),48.34334473911176,5,6,10,.
1,HBML (d),21.614910327216656,5,6,10,.
5,HBML (d),66.41605289588563,5,6,10,.
4,HBML (fd),36.0628349751608,5,6,10,.
10,HBML (fd),35.185530555320845,5,6,10,.
3,HBML (fd),61.96245516145398,5,6,10,.
9,HBML (fd),48.74122638544084,5,6,10,.
8,HBML (fd),55.258070123159825,5,6,10,.
